step,time,component,voltage,current,energy_stored,energy_consumed,total_energy_consumed
60,15.0,storage,3.609506911247789,0.0017561972355008846,0.06514270071172777,NaN,NaN
60,15.0,load,0.0,0.0,NaN,0.0,0.0
61,15.25,supply,8.0,NaN,NaN,NaN,NaN
61,15.25,storage,3.6531930474040015,0.0017387227810383994,0.06672909720800468,NaN,NaN
61,15.25,load,0.0,0.0,NaN,0.0,0.0
62,15.5,supply,8.0,NaN,NaN,NaN,NaN
62,15.5,storage,3.696444499242604,0.0017214222003029585,0.06831850967990453,NaN,NaN
62,15.5,load,0.0,0.0,NaN,0.0,0.0
63,15.75,supply,8.0,NaN,NaN,NaN,NaN
63,15.75,storage,3.7392655919448226,0.001704293763222071,0.06991053583551232,NaN,NaN
63,15.75,load,0.0,0.0,NaN,0.0,0.0
64,16.0,supply,8.0,NaN,NaN,NaN,NaN
64,16.0,storage,3.7816606076556116,0.0016873357569377554,0.07150478475747105,NaN,NaN
64,16.0,load,0.0,0.0,NaN,0.0,0.0
65,16.25,supply,8.0,NaN,NaN,NaN,NaN
65,16.25,storage,3.8236337859118716,0.0016705464856352514,0.07310087664383376,NaN,NaN
65,16.25,load,0.0,0.0,NaN,0.0,0.0
66,16.5,supply,8.0,NaN,NaN,NaN,NaN
66,16.5,storage,3.8651893240664066,0.0016539242703734374,0.07469844255438463,NaN,NaN
66,16.5,load,0.0,0.0,NaN,0.0,0.0
67,16.75,supply,8.0,NaN,NaN,NaN,NaN
67,16.75,storage,3.9063313777076605,0.0016374674489169358,0.07629712416231714,NaN,NaN
67,16.75,load,0.0,0.0,NaN,0.0,0.0
68,17.0,supply,8.0,NaN,NaN,NaN,NaN
68,17.0,storage,3.9470640610752836,0.0016211743755698866,0.07789657351116056,NaN,NaN
68,17.0,load,0.0,0.0,NaN,0.0,0.0
69,17.25,supply,8.0,NaN,NaN,NaN,NaN
69,17.25,storage,3.9873914474715555,0.001605043421011378,0.07949645277684654,NaN,NaN
69,17.25,load,0.0,0.0,NaN,0.0,0.0
70,17.5,supply,8.0,NaN,NaN,NaN,NaN
70,17.5,storage,4.027317569668724,0.0007999626875193697,0.08109643403481197,NaN,NaN
70,17.5,load,4.027317569668724,0.0040273175696687235,NaN,0.001,0.001
71,17.75,supply,8.0,NaN,NaN,NaN,NaN
71,17.75,storage,2.0473102552084996,0.0015732614318750885,0.020957396405409463,NaN,NaN
71,17.75,load,0.0,0.0,NaN,0.0,0.001
72,18.0,supply,8.0,NaN,NaN,NaN,NaN
72,18.0,storage,4.105981952320226,0.0007994383912891196,0.08429543896389709,NaN,NaN
72,18.0,load,4.105981952320226,0.004105981952320226,NaN,0.001,0.002
73,18.25,supply,8.0,NaN,NaN,NaN,NaN
73,18.25,storage,2.1272723363489883,0.001542108768288648,0.022626437964978416,NaN,NaN
73,18.25,load,0.0,0.0,NaN,0.0,0.002
74,18.5,supply,8.0,NaN,NaN,NaN,NaN
74,18.5,storage,4.1830886758317245,0.0007983239268391092,0.08749115434935804,NaN,NaN
74,18.5,load,4.1830886758317245,0.0041830886758317245,NaN,0.001,0.003
75,18.75,supply,8.0,NaN,NaN,NaN,NaN
75,18.75,storage,2.207137498219117,0.0015115729687712471,0.024357279680224716,NaN,NaN
75,18.75,load,0.0,0.0,NaN,0.0,0.003
76,19.0,supply,8.0,NaN,NaN,NaN,NaN
76,19.0,storage,4.258668583920726,0.0007966545281846223,0.09068129053836682,NaN,NaN
76,19.0,load,4.258668583920726,0.004258668583920726,NaN,0.001,0.004
77,19.25,supply,8.0,NaN,NaN,NaN,NaN
77,19.25,storage,2.2868493759589583,0.0014816418185959299,0.026148400341619388,NaN,NaN
77,19.25,load,0.0,0.0,NaN,0.0,0.004
78,19.5,supply,8.0,NaN,NaN,NaN,NaN
78,19.5,storage,4.332751909558212,0.0007944638083342681,0.09386369554890166,NaN,NaN
78,19.5,load,4.332751909558212,0.004332751909558212,NaN,0.001,0.005
79,19.75,supply,8.0,NaN,NaN,NaN,NaN
79,19.75,storage,2.366355006155529,0.0014523033449035387,0.027998180075786666,NaN,NaN
79,19.75,load,0.0,0.0,NaN,0.0,0.005
80,20.0,supply,8.0,NaN,NaN,NaN,NaN
80,20.0,storage,4.4053682870622275,0.0007917838275922118,0.09703634872326791,NaN,NaN
80,20.0,load,4.4053682870622275,0.004405368287062227,NaN,0.001,0.006
81,20.25,supply,8.0,NaN,NaN,NaN,NaN
81,20.25,storage,2.445604669879854,0.0014235458119134115,0.029904911006690755,NaN,NaN
81,20.25,load,0.0,0.0,NaN,0.0,0.006
82,20.5,supply,8.0,NaN,NaN,NaN,NaN
82,20.5,storage,4.476546763952006,0.0007886451590883436,0.10019735464924587,NaN,NaN
82,20.5,load,4.476546763952006,0.0044765467639520055,NaN,0.001,0.007
83,20.75,supply,8.0,NaN,NaN,NaN,NaN
83,20.75,storage,2.5245517423457535,0.0013953577162289141,0.0318668074989049,NaN,NaN
83,20.75,load,0.0,0.0,NaN,0.0,0.007
84,21.0,supply,8.0,NaN,NaN,NaN,NaN
84,21.0,storage,4.546315812567363,0.0007850769516469432,0.10334493733800021,NaN,NaN
